label,source,target
dcba-cbda,2bd,2cd
abcd-bcad,2ca,2ba
abcd-bcda,2ca,2ba
abcd-bdca,2ca,2ba
abcd-cabd,2ca,2cb
abcd-cadb,2ca,2cb
abcd-cdab,2ca,2cb
abcd-dbca,2ca,2ba
abcd-dcab,2ca,2cb
abdc-bcad,2ca,2ba
abdc-bcad,2ca,2cd
abdc-bcda,2ca,2ba
abdc-bdca,2ca,2ba
abdc-bdca,2ca,2da
abdc-cabd,2ca,2cb
abdc-cabd,2ca,2cd
abdc-cadb,2ca,2cb
abdc-cadb,2ca,2cd
abdc-cbad,2ca,2cd
abdc-cdab,2ca,2cb
abdc-dbca,2ca,2ba
abdc-dbca,2ca,2da
abdc-dcab,2ca,2cb
abdc-dcab,2ca,2da
abdc-dcba,2ca,2da
adbc-bcad,2ca,2ba
adbc-bcad,2ca,2cd
adbc-bcda,2ca,2ba
adbc-bdca,2ca,2ba
adbc-bdca,2ca,2da
adbc-cabd,2ca,2cb
adbc-cabd,2ca,2cd
adbc-cadb,2ca,2cb
adbc-cadb,2ca,2cd
adbc-cbad,2ca,2cd
adbc-cdab,2ca,2cb
adbc-dbca,2ca,2ba
adbc-dbca,2ca,2da
adbc-dcab,2ca,2cb
adbc-dcab,2ca,2da
adbc-dcba,2ca,2da
adcb-bcad,2ca,2cd
adcb-bdca,2ca,2da
adcb-cabd,2ca,2cd
adcb-cadb,2ca,2cd
adcb-cbad,2ca,2cd
adcb-dbca,2ca,2da
adcb-dcab,2ca,2da
adcb-dcba,2ca,2da
badc-bcad,2ca,2cd
badc-bdca,2ca,2da
badc-cabd,2ca,2cd
badc-cadb,2ca,2cd
badc-cbad,2ca,2cd
badc-dbca,2ca,2da
badc-dcab,2ca,2da
badc-dcba,2ca,2da
bcad-abcd,1ca,1ba
bcad-abdc,1ca,1ba
bcad-abdc,1ca,1cd
bcad-adbc,1ca,1ba
bcad-adbc,1ca,1cd
bcad-adcb,1ca,1cd
bcad-badc,1ca,1cd
bcad-dabc,1ca,1ba
bcda-abcd,1ca,1ba
bcda-abdc,1ca,1ba
bcda-adbc,1ca,1ba
bcda-dabc,1ca,1ba
bdca-abcd,1ca,1ba
bdca-abdc,1ca,1ba
bdca-abdc,1ca,1da
bdca-adbc,1ca,1ba
bdca-adbc,1ca,1da
bdca-adcb,1ca,1da
bdca-badc,1ca,1da
bdca-dabc,1ca,1ba
cabd-abcd,1ca,1cb
cabd-abdc,1ca,1cb
cabd-abdc,1ca,1cd
cabd-adbc,1ca,1cb
cabd-adbc,1ca,1cd
cabd-adcb,1ca,1cd
cabd-badc,1ca,1cd
cabd-dabc,1ca,1cb
cadb-abcd,1ca,1cb
cadb-abdc,1ca,1cb
cadb-abdc,1ca,1cd
cadb-adbc,1ca,1cb
cadb-adbc,1ca,1cd
cadb-adcb,1ca,1cd
cadb-badc,1ca,1cd
cadb-dabc,1ca,1cb
cbad-abdc,1ca,1cd
cbad-adbc,1ca,1cd
cbad-adcb,1ca,1cd
cbad-badc,1ca,1cd
cdab-abcd,1ca,1cb
cdab-abdc,1ca,1cb
cdab-adbc,1ca,1cb
cdab-dabc,1ca,1cb
dabc-bcad,2ca,2ba
dabc-bcda,2ca,2ba
dabc-bdca,2ca,2ba
dabc-cabd,2ca,2cb
dabc-cadb,2ca,2cb
dabc-cdab,2ca,2cb
dabc-dbca,2ca,2ba
dabc-dcab,2ca,2cb
dbca-abcd,1ca,1ba
dbca-abdc,1ca,1ba
dbca-abdc,1ca,1da
dbca-adbc,1ca,1ba
dbca-adbc,1ca,1da
dbca-adcb,1ca,1da
dbca-badc,1ca,1da
dbca-dabc,1ca,1ba
dcab-abcd,1ca,1cb
dcab-abdc,1ca,1cb
dcab-abdc,1ca,1da
dcab-adbc,1ca,1cb
dcab-adbc,1ca,1da
dcab-adcb,1ca,1da
dcab-badc,1ca,1da
dcab-dabc,1ca,1cb
dcba-abdc,1ca,1da
dcba-adbc,1ca,1da
dcba-adcb,1ca,1da
dcba-badc,1ca,1da
abdc-acbd,2cb,2cd
abdc-adcb,2cb,2db
abdc-cabd,2cb,2cd
abdc-cbad,2cb,2cd
abdc-cbda,2cb,2cd
abdc-dacb,2cb,2db
abdc-dcab,2cb,2db
abdc-dcba,2cb,2db
acbd-abdc,1cb,1cd
acbd-bacd,1cb,1ab
acbd-badc,1cb,1ab
acbd-badc,1cb,1cd
acbd-bdac,1cb,1ab
acbd-bdac,1cb,1cd
acbd-bdca,1cb,1cd
acbd-dbac,1cb,1ab
acdb-bacd,1cb,1ab
acdb-badc,1cb,1ab
acdb-bdac,1cb,1ab
acdb-dbac,1cb,1ab
adcb-abdc,1cb,1db
adcb-bacd,1cb,1ab
adcb-badc,1cb,1ab
adcb-badc,1cb,1db
adcb-bdac,1cb,1ab
adcb-bdac,1cb,1db
adcb-bdca,1cb,1db
adcb-dbac,1cb,1ab
bacd-acbd,2cb,2ab
bacd-acdb,2cb,2ab
bacd-adcb,2cb,2ab
bacd-cbad,2cb,2ca
bacd-cbda,2cb,2ca
bacd-cdba,2cb,2ca
bacd-dacb,2cb,2ab
bacd-dcba,2cb,2ca
badc-acbd,2cb,2ab
badc-acbd,2cb,2cd
badc-acdb,2cb,2ab
badc-adcb,2cb,2ab
badc-adcb,2cb,2db
badc-cabd,2cb,2cd
badc-cbad,2cb,2ca
badc-cbad,2cb,2cd
badc-cbda,2cb,2ca
badc-cbda,2cb,2cd
badc-cdba,2cb,2ca
badc-dacb,2cb,2ab
badc-dacb,2cb,2db
badc-dcab,2cb,2db
badc-dcba,2cb,2ca
badc-dcba,2cb,2db
bdac-acbd,2cb,2ab
bdac-acbd,2cb,2cd
bdac-acdb,2cb,2ab
bdac-adcb,2cb,2ab
bdac-adcb,2cb,2db
bdac-cabd,2cb,2cd
bdac-cbad,2cb,2ca
bdac-cbad,2cb,2cd
bdac-cbda,2cb,2ca
bdac-cbda,2cb,2cd
bdac-cdba,2cb,2ca
bdac-dacb,2cb,2ab
bdac-dacb,2cb,2db
bdac-dcab,2cb,2db
bdac-dcba,2cb,2ca
bdac-dcba,2cb,2db
bdca-acbd,2cb,2cd
bdca-adcb,2cb,2db
bdca-cabd,2cb,2cd
bdca-cbad,2cb,2cd
bdca-cbda,2cb,2cd
bdca-dacb,2cb,2db
bdca-dcab,2cb,2db
bdca-dcba,2cb,2db
cabd-abdc,1cb,1cd
cabd-badc,1cb,1cd
cabd-bdac,1cb,1cd
cabd-bdca,1cb,1cd
cbad-abdc,1cb,1cd
cbad-bacd,1cb,1ca
cbad-badc,1cb,1ca
cbad-badc,1cb,1cd
cbad-bdac,1cb,1ca
cbad-bdac,1cb,1cd
cbad-bdca,1cb,1cd
cbad-dbac,1cb,1ca
cbda-abdc,1cb,1cd
cbda-bacd,1cb,1ca
cbda-badc,1cb,1ca
cbda-badc,1cb,1cd
cbda-bdac,1cb,1ca
cbda-bdac,1cb,1cd
cbda-bdca,1cb,1cd
cbda-dbac,1cb,1ca
cdba-bacd,1cb,1ca
cdba-badc,1cb,1ca
cdba-bdac,1cb,1ca
cdba-dbac,1cb,1ca
dacb-abdc,1cb,1db
dacb-bacd,1cb,1ab
dacb-badc,1cb,1ab
dacb-badc,1cb,1db
dacb-bdac,1cb,1ab
dacb-bdac,1cb,1db
dacb-bdca,1cb,1db
dacb-dbac,1cb,1ab
dbac-acbd,2cb,2ab
dbac-acdb,2cb,2ab
dbac-adcb,2cb,2ab
dbac-cbad,2cb,2ca
dbac-cbda,2cb,2ca
dbac-cdba,2cb,2ca
dbac-dacb,2cb,2ab
dbac-dcba,2cb,2ca
dcab-abdc,1cb,1db
dcab-badc,1cb,1db
dcab-bdac,1cb,1db
dcab-bdca,1cb,1db
dcba-abdc,1cb,1db
dcba-bacd,1cb,1ca
dcba-badc,1cb,1ca
dcba-badc,1cb,1db
dcba-bdac,1cb,1ca
dcba-bdac,1cb,1db
dcba-bdca,1cb,1db
dcba-dbac,1cb,1ca
abcd-adbc,1cd,1bd
abcd-bdac,1cd,1ad
abcd-dabc,1cd,1ad
abcd-dabc,1cd,1bd
abcd-dacb,1cd,1ad
abcd-dbac,1cd,1ad
abcd-dbac,1cd,1bd
abcd-dbca,1cd,1bd
acbd-bdac,1cd,1ad
acbd-dabc,1cd,1ad
acbd-dacb,1cd,1ad
acbd-dbac,1cd,1ad
acdb-adbc,1cd,1cb
acdb-bdac,1cd,1ad
acdb-dabc,1cd,1ad
acdb-dabc,1cd,1cb
acdb-dacb,1cd,1ad
acdb-dbac,1cd,1ad
acdb-dbac,1cd,1cb
acdb-dbca,1cd,1cb
adbc-abcd,2cd,2bd
adbc-acdb,2cd,2cb
adbc-bacd,2cd,2bd
adbc-bcad,2cd,2bd
adbc-bcda,2cd,2bd
adbc-cadb,2cd,2cb
adbc-cdab,2cd,2cb
adbc-cdba,2cd,2cb
bacd-adbc,1cd,1bd
bacd-bdac,1cd,1ad
bacd-dabc,1cd,1ad
bacd-dabc,1cd,1bd
bacd-dacb,1cd,1ad
bacd-dbac,1cd,1ad
bacd-dbac,1cd,1bd
bacd-dbca,1cd,1bd
bcad-adbc,1cd,1bd
bcad-dabc,1cd,1bd
bcad-dbac,1cd,1bd
bcad-dbca,1cd,1bd
bcda-adbc,1cd,1bd
bcda-bdac,1cd,1ca
bcda-dabc,1cd,1bd
bcda-dabc,1cd,1ca
bcda-dacb,1cd,1ca
bcda-dbac,1cd,1bd
bcda-dbac,1cd,1ca
bcda-dbca,1cd,1bd
bdac-abcd,2cd,2ad
bdac-acbd,2cd,2ad
bdac-acdb,2cd,2ad
bdac-bacd,2cd,2ad
bdac-bcda,2cd,2ca
bdac-cbda,2cd,2ca
bdac-cdab,2cd,2ca
bdac-cdba,2cd,2ca
cadb-adbc,1cd,1cb
cadb-dabc,1cd,1cb
cadb-dbac,1cd,1cb
cadb-dbca,1cd,1cb
cbda-bdac,1cd,1ca
cbda-dabc,1cd,1ca
cbda-dacb,1cd,1ca
cbda-dbac,1cd,1ca
cdab-adbc,1cd,1cb
cdab-bdac,1cd,1ca
cdab-dabc,1cd,1ca
cdab-dabc,1cd,1cb
cdab-dacb,1cd,1ca
cdab-dbac,1cd,1ca
cdab-dbac,1cd,1cb
cdab-dbca,1cd,1cb
cdba-adbc,1cd,1cb
cdba-bdac,1cd,1ca
cdba-dabc,1cd,1ca
cdba-dabc,1cd,1cb
cdba-dacb,1cd,1ca
cdba-dbac,1cd,1ca
cdba-dbac,1cd,1cb
cdba-dbca,1cd,1cb
dabc-abcd,2cd,2ad
dabc-abcd,2cd,2bd
dabc-acbd,2cd,2ad
dabc-acdb,2cd,2ad
dabc-acdb,2cd,2cb
dabc-bacd,2cd,2ad
dabc-bacd,2cd,2bd
dabc-bcad,2cd,2bd
dabc-bcda,2cd,2bd
dabc-bcda,2cd,2ca
dabc-cadb,2cd,2cb
dabc-cbda,2cd,2ca
dabc-cdab,2cd,2ca
dabc-cdab,2cd,2cb
dabc-cdba,2cd,2ca
dabc-cdba,2cd,2cb
dacb-abcd,2cd,2ad
dacb-acbd,2cd,2ad
dacb-acdb,2cd,2ad
dacb-bacd,2cd,2ad
dacb-bcda,2cd,2ca
dacb-cbda,2cd,2ca
dacb-cdab,2cd,2ca
dacb-cdba,2cd,2ca
dbac-abcd,2cd,2ad
dbac-abcd,2cd,2bd
dbac-acbd,2cd,2ad
dbac-acdb,2cd,2ad
dbac-acdb,2cd,2cb
dbac-bacd,2cd,2ad
dbac-bacd,2cd,2bd
dbac-bcad,2cd,2bd
dbac-bcda,2cd,2bd
dbac-bcda,2cd,2ca
dbac-cadb,2cd,2cb
dbac-cbda,2cd,2ca
dbac-cdab,2cd,2ca
dbac-cdab,2cd,2cb
dbac-cdba,2cd,2ca
dbac-cdba,2cd,2cb
dbca-abcd,2cd,2bd
dbca-acdb,2cd,2cb
dbca-bacd,2cd,2bd
dbca-bcad,2cd,2bd
dbca-bcda,2cd,2bd
dbca-cadb,2cd,2cb
dbca-cdab,2cd,2cb
dbca-cdba,2cd,2cb
abcd-bcda,2da,2ba
abcd-bcda,2da,2ca
abcd-bdac,2da,2ba
abcd-bdac,2da,2dc
abcd-bdca,2da,2ba
abcd-cbda,2da,2ba
abcd-cbda,2da,2ca
abcd-cdab,2da,2ca
abcd-cdab,2da,2db
abcd-cdba,2da,2ca
abcd-dabc,2da,2db
abcd-dabc,2da,2dc
abcd-dacb,2da,2db
abcd-dacb,2da,2dc
abcd-dbac,2da,2dc
abcd-dcab,2da,2db
abdc-bcda,2da,2ba
abdc-bdac,2da,2ba
abdc-bdca,2da,2ba
abdc-cbda,2da,2ba
abdc-cdab,2da,2db
abdc-dabc,2da,2db
abdc-dacb,2da,2db
abdc-dcab,2da,2db
acbd-bcda,2da,2ba
acbd-bcda,2da,2ca
acbd-bdac,2da,2ba
acbd-bdac,2da,2dc
acbd-bdca,2da,2ba
acbd-cbda,2da,2ba
acbd-cbda,2da,2ca
acbd-cdab,2da,2ca
acbd-cdab,2da,2db
acbd-cdba,2da,2ca
acbd-dabc,2da,2db
acbd-dabc,2da,2dc
acbd-dacb,2da,2db
acbd-dacb,2da,2dc
acbd-dbac,2da,2dc
acbd-dcab,2da,2db
acdb-bcda,2da,2ca
acdb-bdac,2da,2dc
acdb-cbda,2da,2ca
acdb-cdab,2da,2ca
acdb-cdba,2da,2ca
acdb-dabc,2da,2dc
acdb-dacb,2da,2dc
acdb-dbac,2da,2dc
bacd-bcda,2da,2ca
bacd-bdac,2da,2dc
bacd-cbda,2da,2ca
bacd-cdab,2da,2ca
bacd-cdba,2da,2ca
bacd-dabc,2da,2dc
bacd-dacb,2da,2dc
bacd-dbac,2da,2dc
bcda-abcd,1da,1ba
bcda-abcd,1da,1ca
bcda-abdc,1da,1ba
bcda-acbd,1da,1ba
bcda-acbd,1da,1ca
bcda-acdb,1da,1ca
bcda-bacd,1da,1ca
bcda-cabd,1da,1ba
bdac-abcd,1da,1ba
bdac-abcd,1da,1dc
bdac-abdc,1da,1ba
bdac-acbd,1da,1ba
bdac-acbd,1da,1dc
bdac-acdb,1da,1dc
bdac-bacd,1da,1dc
bdac-cabd,1da,1ba
bdca-abcd,1da,1ba
bdca-abdc,1da,1ba
bdca-acbd,1da,1ba
bdca-cabd,1da,1ba
cabd-bcda,2da,2ba
cabd-bdac,2da,2ba
cabd-bdca,2da,2ba
cabd-cbda,2da,2ba
cabd-cdab,2da,2db
cabd-dabc,2da,2db
cabd-dacb,2da,2db
cabd-dcab,2da,2db
cbda-abcd,1da,1ba
cbda-abcd,1da,1ca
cbda-abdc,1da,1ba
cbda-acbd,1da,1ba
cbda-acbd,1da,1ca
cbda-acdb,1da,1ca
cbda-bacd,1da,1ca
cbda-cabd,1da,1ba
cdab-abcd,1da,1ca
cdab-abcd,1da,1db
cdab-abdc,1da,1db
cdab-acbd,1da,1ca
cdab-acbd,1da,1db
cdab-acdb,1da,1ca
cdab-bacd,1da,1ca
cdab-cabd,1da,1db
cdba-abcd,1da,1ca
cdba-acbd,1da,1ca
cdba-acdb,1da,1ca
cdba-bacd,1da,1ca
dabc-abcd,1da,1db
dabc-abcd,1da,1dc
dabc-abdc,1da,1db
dabc-acbd,1da,1db
dabc-acbd,1da,1dc
dabc-acdb,1da,1dc
dabc-bacd,1da,1dc
dabc-cabd,1da,1db
dacb-abcd,1da,1db
dacb-abcd,1da,1dc
dacb-abdc,1da,1db
dacb-acbd,1da,1db
dacb-acbd,1da,1dc
dacb-acdb,1da,1dc
dacb-bacd,1da,1dc
dacb-cabd,1da,1db
dbac-abcd,1da,1dc
dbac-acbd,1da,1dc
dbac-acdb,1da,1dc
dbac-bacd,1da,1dc
dcab-abcd,1da,1db
dcab-abdc,1da,1db
dcab-acbd,1da,1db
dcab-cabd,1da,1db
abcd-acdb,2db,2cb
abcd-adbc,2db,2dc
abcd-cadb,2db,2cb
abcd-cdab,2db,2cb
abcd-cdba,2db,2cb
abcd-dabc,2db,2dc
abcd-dbac,2db,2dc
abcd-dbca,2db,2dc
acdb-abcd,1db,1cb
acdb-bacd,1db,1ab
acdb-bacd,1db,1cb
acdb-badc,1db,1ab
acdb-bcad,1db,1ab
acdb-bcad,1db,1cb
acdb-bcda,1db,1cb
acdb-cbad,1db,1ab
adbc-abcd,1db,1dc
adbc-bacd,1db,1ab
adbc-bacd,1db,1dc
adbc-badc,1db,1ab
adbc-bcad,1db,1ab
adbc-bcad,1db,1dc
adbc-bcda,1db,1dc
adbc-cbad,1db,1ab
adcb-bacd,1db,1ab
adcb-badc,1db,1ab
adcb-bcad,1db,1ab
adcb-cbad,1db,1ab
bacd-acdb,2db,2ab
bacd-acdb,2db,2cb
bacd-adbc,2db,2ab
bacd-adbc,2db,2dc
bacd-adcb,2db,2ab
bacd-cadb,2db,2ab
bacd-cadb,2db,2cb
bacd-cdab,2db,2cb
bacd-cdba,2db,2cb
bacd-cdba,2db,2da
bacd-dabc,2db,2dc
bacd-dbac,2db,2da
bacd-dbac,2db,2dc
bacd-dbca,2db,2da
bacd-dbca,2db,2dc
bacd-dcba,2db,2da
badc-acdb,2db,2ab
badc-adbc,2db,2ab
badc-adcb,2db,2ab
badc-cadb,2db,2ab
badc-cdba,2db,2da
badc-dbac,2db,2da
badc-dbca,2db,2da
badc-dcba,2db,2da
bcad-acdb,2db,2ab
bcad-acdb,2db,2cb
bcad-adbc,2db,2ab
bcad-adbc,2db,2dc
bcad-adcb,2db,2ab
bcad-cadb,2db,2ab
bcad-cadb,2db,2cb
bcad-cdab,2db,2cb
bcad-cdba,2db,2cb
bcad-cdba,2db,2da
bcad-dabc,2db,2dc
bcad-dbac,2db,2da
bcad-dbac,2db,2dc
bcad-dbca,2db,2da
bcad-dbca,2db,2dc
bcad-dcba,2db,2da
bcda-acdb,2db,2cb
bcda-adbc,2db,2dc
bcda-cadb,2db,2cb
bcda-cdab,2db,2cb
bcda-cdba,2db,2cb
bcda-dabc,2db,2dc
bcda-dbac,2db,2dc
bcda-dbca,2db,2dc
cadb-abcd,1db,1cb
cadb-bacd,1db,1ab
cadb-bacd,1db,1cb
cadb-badc,1db,1ab
cadb-bcad,1db,1ab
cadb-bcad,1db,1cb
cadb-bcda,1db,1cb
cadb-cbad,1db,1ab
cbad-acdb,2db,2ab
cbad-adbc,2db,2ab
cbad-adcb,2db,2ab
cbad-cadb,2db,2ab
cbad-cdba,2db,2da
cbad-dbac,2db,2da
cbad-dbca,2db,2da
cbad-dcba,2db,2da
cdab-abcd,1db,1cb
cdab-bacd,1db,1cb
cdab-bcad,1db,1cb
cdab-bcda,1db,1cb
cdba-abcd,1db,1cb
cdba-bacd,1db,1cb
cdba-bacd,1db,1da
cdba-badc,1db,1da
cdba-bcad,1db,1cb
cdba-bcad,1db,1da
cdba-bcda,1db,1cb
cdba-cbad,1db,1da
dabc-abcd,1db,1dc
dabc-bacd,1db,1dc
dabc-bcad,1db,1dc
dabc-bcda,1db,1dc
dbac-abcd,1db,1dc
dbac-bacd,1db,1da
dbac-bacd,1db,1dc
dbac-badc,1db,1da
dbac-bcad,1db,1da
dbac-bcad,1db,1dc
dbac-bcda,1db,1dc
dbac-cbad,1db,1da
dbca-abcd,1db,1dc
dbca-bacd,1db,1da
dbca-bacd,1db,1dc
dbca-badc,1db,1da
dbca-bcad,1db,1da
dbca-bcad,1db,1dc
dbca-bcda,1db,1dc
dbca-cbad,1db,1da
dcba-bacd,1db,1da
dcba-badc,1db,1da
dcba-bcad,1db,1da
dcba-cbad,1db,1da
abdc-acbd,1dc,1bc
abdc-bcad,1dc,1ac
abdc-cabd,1dc,1ac
abdc-cabd,1dc,1bc
abdc-cadb,1dc,1ac
abdc-cbad,1dc,1ac
abdc-cbad,1dc,1bc
abdc-cbda,1dc,1bc
acbd-abdc,2dc,2bc
acbd-adcb,2dc,2db
acbd-badc,2dc,2bc
acbd-bdac,2dc,2bc
acbd-bdca,2dc,2bc
acbd-dacb,2dc,2db
acbd-dcab,2dc,2db
acbd-dcba,2dc,2db
adbc-bcad,1dc,1ac
adbc-cabd,1dc,1ac
adbc-cadb,1dc,1ac
adbc-cbad,1dc,1ac
adcb-acbd,1dc,1db
adcb-bcad,1dc,1ac
adcb-cabd,1dc,1ac
adcb-cabd,1dc,1db
adcb-cadb,1dc,1ac
adcb-cbad,1dc,1ac
adcb-cbad,1dc,1db
adcb-cbda,1dc,1db
badc-acbd,1dc,1bc
badc-bcad,1dc,1ac
badc-cabd,1dc,1ac
badc-cabd,1dc,1bc
badc-cadb,1dc,1ac
badc-cbad,1dc,1ac
badc-cbad,1dc,1bc
badc-cbda,1dc,1bc
bcad-abdc,2dc,2ac
bcad-adbc,2dc,2ac
bcad-adcb,2dc,2ac
bcad-badc,2dc,2ac
bcad-bdca,2dc,2da
bcad-dbca,2dc,2da
bcad-dcab,2dc,2da
bcad-dcba,2dc,2da
bdac-acbd,1dc,1bc
bdac-cabd,1dc,1bc
bdac-cbad,1dc,1bc
bdac-cbda,1dc,1bc
bdca-acbd,1dc,1bc
bdca-bcad,1dc,1da
bdca-cabd,1dc,1bc
bdca-cabd,1dc,1da
bdca-cadb,1dc,1da
bdca-cbad,1dc,1bc
bdca-cbad,1dc,1da
bdca-cbda,1dc,1bc
cabd-abdc,2dc,2ac
cabd-abdc,2dc,2bc
cabd-adbc,2dc,2ac
cabd-adcb,2dc,2ac
cabd-adcb,2dc,2db
cabd-badc,2dc,2ac
cabd-badc,2dc,2bc
cabd-bdac,2dc,2bc
cabd-bdca,2dc,2bc
cabd-bdca,2dc,2da
cabd-dacb,2dc,2db
cabd-dbca,2dc,2da
cabd-dcab,2dc,2da
cabd-dcab,2dc,2db
cabd-dcba,2dc,2da
cabd-dcba,2dc,2db
cadb-abdc,2dc,2ac
cadb-adbc,2dc,2ac
cadb-adcb,2dc,2ac
cadb-badc,2dc,2ac
cadb-bdca,2dc,2da
cadb-dbca,2dc,2da
cadb-dcab,2dc,2da
cadb-dcba,2dc,2da
cbad-abdc,2dc,2ac
cbad-abdc,2dc,2bc
cbad-adbc,2dc,2ac
cbad-adcb,2dc,2ac
cbad-adcb,2dc,2db
cbad-badc,2dc,2ac
cbad-badc,2dc,2bc
cbad-bdac,2dc,2bc
cbad-bdca,2dc,2bc
cbad-bdca,2dc,2da
cbad-dacb,2dc,2db
cbad-dbca,2dc,2da
cbad-dcab,2dc,2da
cbad-dcab,2dc,2db
cbad-dcba,2dc,2da
cbad-dcba,2dc,2db
cbda-abdc,2dc,2bc
cbda-adcb,2dc,2db
cbda-badc,2dc,2bc
cbda-bdac,2dc,2bc
cbda-bdca,2dc,2bc
cbda-dacb,2dc,2db
cbda-dcab,2dc,2db
cbda-dcba,2dc,2db
dacb-acbd,1dc,1db
dacb-cabd,1dc,1db
dacb-cbad,1dc,1db
dacb-cbda,1dc,1db
dbca-bcad,1dc,1da
dbca-cabd,1dc,1da
dbca-cadb,1dc,1da
dbca-cbad,1dc,1da
dcab-acbd,1dc,1db
dcab-bcad,1dc,1da
dcab-cabd,1dc,1da
dcab-cabd,1dc,1db
dcab-cadb,1dc,1da
dcab-cbad,1dc,1da
dcab-cbad,1dc,1db
dcab-cbda,1dc,1db
dcba-acbd,1dc,1db
dcba-bcad,1dc,1da
dcba-cabd,1dc,1da
dcba-cabd,1dc,1db
dcba-cadb,1dc,1da
dcba-cbad,1dc,1da
dcba-cbad,1dc,1db
dcba-cbda,1dc,1db